,LCDV16,Model,family code,Plant,Usage,WORK CENTER,Item Number,Part Number,Revision Number,BreakDow,n Code,Part Name,Quantity,UOM,Usecase,SGR UTI,SGR FAB,Start Date,ECO Number,End Date,ECO Number TO,Operation Number,Workcenter,Supplier Name of Color ID,Supplier Name,Status,Description,Created On,Created by,Changed On,Changed By
0,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,338,9839191080,03,K7G09002,A08,BOLT M8 X 125 L30 ST10,2.0,EA,,,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00DDZ  01,RIGHT TIGHT FASTNERS PVT. LTD.,,,,,,
1,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,344,9839373580,03,K7C09001,A02,HEX FLG CONICAL WASHER NUT M8 X 125 FLG,1.0,EA,,,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00DDZ  01,RIGHT TIGHT FASTNERS PVT. LTD.,,,,,,
2,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,404,9845678980,00,K4B01024,,CLOSER RR SILL LH,1.0,EA,,,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00QG9  02,Nirmiti Precision Pvt Ltd,,,,,,
3,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,534,9850713680,01,K4G01226,,BRACKET WLD,1.0,EA,,,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00CDQ  01,Grupo Cosmos India Pvt Ltd,,,,,,
4,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,578,9855370680,00,K4G01002,F02,LH PASS CPT SIDE STIFFENER,1.0,EA,,,,2024-08-10,,2024-09-23 00:00:00,500000089624.0,80,BodyShop,A00CW9  02,PARACOAT PRODUCTS LTD,,,,,,
5,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,613,Z0A0032854,00,,,WINDSHIELD ADHESIVE,0.625,KG,,,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00CY6  01,Henkel Anand India Private Limited,,,,,,
6,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,1256,9849493880,02,Z1B03004,A01,NUT H BSE M6X100 ST8 Z8FBR,2.0,EA,[DLP:01].[DXD:04],,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00DDZ  01,RIGHT TIGHT FASTNERS PVT. LTD.,1.0,Released,2024-08-10,SF33770,,
7,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,1260,9849505380,02,V5D01006,A01,NUT H FWN M8X125 ST8 ZNIFBR,1.0,EA,[B0F:RZ].[DXD:04],,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00DDZ  01,RIGHT TIGHT FASTNERS PVT. LTD.,1.0,Released,2024-08-10,SF33770,,
8,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,2715,9836691080,04,K4G01143,,SIDE PASSENGER COMPARTMENT LH RR PART,1.0,EA,[DLP:01].[DXX:03]/[DLP:02],,,2024-10-24,500000090202.0,9999-12-31 00:00:00,,80,BodyShop,A00BV6  01,JBM Auto Limited,1.0,Released,2024-10-23,SF19466,,
9,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,2716,9836787080,04,K7E01009,,WELDED ASS FUEL FILLER CASE,1.0,EA,,,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00BV6  01,JBM Auto Limited,,,,,,
10,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,2726,9838266280,10,K4G01002,,SIDE PASSENGER COMPARTMENT LH,1.0,EA,[DXX:03],,,2024-10-24,500000090202.0,9999-12-31 00:00:00,,80,BodyShop,A00BV6  01,JBM Auto Limited,1.0,Released,2024-10-23,SF19466,,
11,1CSASUKRZFY0A0D0,c3,c3_ ice,PS02,1,1,3400,9860456280,00,K4F03002,D01,LH RR WHEEL ARCH DAMPER,1.0,EA,[DXD:04],,,2024-08-10,,9999-12-31 00:00:00,,80,BodyShop,A00CW9  02,PARACOAT PRODUCTS LTD,1.0,Released,2024-08-10,SF33770,,
