functions,key steps,requirement,potential failure mode,potential effect(s) of failure,sev,class,diversity,potential cause(s) of failure,current design - controls prevention,current design occur,current design -controls detection,current design - detection,rpn,recommended action,responsibility &target completion date,action results - action taken&  completion date,action results - sev,action results - occur,action results -detec,action results - rpn,quality gate,remarks,iqf number
$vis kp cblx mtend 6 l20 ac znidn3l,,,,,,,,,,,,,60.0,,,,,,,,,,
$vis kp cblx mtend 6 l20 ac znidn3l,,,,,,,,,,,,,60.0,,,,,,,,,,
$vis kp cblx mtend 6 l20 ac znidn3l,,,,,,,,,,,,,60.0,,,,,,,,,,
$vis kp cblx mtend 6 l20 ac znidn3l,,,,,,,,,,,,,60.0,,,,,,,,,,
$ecrou h frein m m8x125 ac10 znia3l,,,,,,,,,,,,,60.0,,,,,,,,,,
screw % fx m8x125 l25 ac8 znida3l fpco,,,,,,,,,,,,,60.0,,,,,,,,,,
screw % fx m8x125 l25 ac8 znida3l fpco,,,,,,,,,,,,,60.0,,,,,,,,,,
screw % fx m8x125 l25 ac8 znida3l fpco,,,,,,,,,,,,,60.0,,,,,,,,,,
screw % fx m8x125 l25 ac8 znida3l fpco,,,,,,,,,,,,,60.0,,,,,,,,,,
screw % fx m8x125 l25 ac8 znida3l fpco,,,,,,,,,,,,,60.0,,,,,,,,,,
safety belt strap deviator,,,,,,,,,,,,,60.0,,,,,,,,,,
ens rh quarter panel trim,qtr plr upr,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rh quarter panel trim,qtr plr upr,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
"rivet ave 4,8 d16 l16,5 alu tac",,,,,,,,,,,,,60.0,,,,,,,,,,
"rivet ave 4,8 d16 l16,5 alu tac",,,,,,,,,,,,,60.0,,,,,,,,,,
"$butee k 14 h5 trou t9,5 e0,8 caout",,,,,,,,,,,,,60.0,,,,,,,,,,
handle ext door rh,rr handle,correct selection of part,wrong selection,"1,variant mismatch.",5,,no,identification mark not available,part identification sheet and operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,154.0
handle ext door rh,rr handle,completely fix of inside hadle cable hook,partial fix of inside hadle cable hook,"1. functional failure
2.rattle noise",5,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
handle ext door rh,rr handle,completely fix of inside handle in rr door trim,partial fix of inside handle in rr door trim,"1.poor aesthitic
2.rattle noise",5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,5.0,3.0,5.0,75.0,,,
handle ext door rh,grommet,completely fix of inside handle  grommet,partial fixing of inside handle  grommet,1.part falldown,5,,,operator not follow the work instruction (ensure the click sound),operator training,3.0,visual inspection,8.0,120.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,5.0,3.0,5.0,75.0,,,
handle ext door rh,fasteners,proper fix of inside handle fastener,partial fitment ,"1. poor aesthitic ( more gap)
2.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
handle ext door rh,fasteners,,over tightened,"1. poor aesthitic ( more gap and flush)
2.screw and metal clip broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
handle ext door rh,rr handle,correct selection of part,wrong selection,"1,variant mismatch.",5,,no,identification mark not available,part identification sheet and operator training,3.0,visual inspection,7.0,105.0,,,,,,,,,,154.0
